city,locality,propertyType,bedrooms,bathrooms,area,propertyAge,floor,amenities_count,parking,price
Delhi,Rohini,Independent House,3,2,3592,6,19,6,0,40080000.0
Hyderabad,Banjara Hills,Commercial Property,0,1,2185,20,2,7,1,14260000.0
Bangalore,HSR Layout,Apartment,1,1,521,11,17,9,1,4050000.0
Mumbai,Worli,Independent House,4,3,3702,4,19,6,0,67160000.0
Bangalore,HSR Layout,Apartment,4,4,741,8,21,1,1,5870000.0
Delhi,Connaught Place,Apartment,3,3,3652,3,18,7,1,55250000.0
Bangalore,HSR Layout,Villa,5,6,2949,11,2,9,1,24110000.0
Delhi,Vasant Kunj,Villa,5,4,837,14,21,7,1,11590000.0
Delhi,Connaught Place,Apartment,1,1,2562,12,1,8,0,39200000.0
Chennai,Anna Nagar,Commercial Property,0,1,1662,18,17,7,0,9570000.0
Mumbai,Juhu,Villa,2,1,3599,6,9,7,1,63410000.0
Hyderabad,Jubilee Hills,Commercial Property,0,1,2070,0,3,4,0,18340000.0
Chennai,ECR,Villa,3,2,706,14,10,2,0,4730000.0
Chennai,Anna Nagar,Apartment,4,4,3032,22,7,3,0,15810000.0
Mumbai,Powai,Villa,4,4,3229,12,21,5,1,62820000.0
Delhi,Connaught Place,Villa,3,3,2538,24,7,0,0,37100000.0
Chennai,Anna Nagar,Apartment,1,2,3930,5,8,8,1,21050000.0
Mumbai,Andheri,Commercial Property,0,1,4398,21,24,8,1,77030000.0
Chennai,Velachery,Commercial Property,0,1,4378,1,3,0,0,23020000.0
Chennai,Adyar,Apartment,2,2,2767,21,23,4,1,23400000.0
Mumbai,Andheri,Apartment,4,4,2195,5,23,3,0,42660000.0
Mumbai,Bandra,Independent House,5,5,697,21,11,0,0,17630000.0
Hyderabad,Jubilee Hills,Commercial Property,0,1,2455,18,3,2,1,21010000.0
Delhi,Vasant Kunj,Apartment,2,1,2302,24,18,6,0,27450000.0
Mumbai,Worli,Commercial Property,0,1,1123,24,20,0,1,21730000.0
Delhi,Rohini,Apartment,3,4,2556,8,3,2,1,30920000.0
Delhi,Vasant Kunj,Commercial Property,0,1,2148,7,4,5,1,24360000.0
Mumbai,Bandra,Independent House,1,1,3461,13,18,1,1,86440000.0
Hyderabad,HITECH City,Commercial Property,0,1,2103,0,14,4,1,13610000.0
Mumbai,Bandra,Commercial Property,0,1,3235,11,19,5,0,77430000.0
Hyderabad,Jubilee Hills,Villa,3,4,725,20,1,0,0,6000000.0
Mumbai,Worli,Independent House,1,1,3743,13,21,5,0,70900000.0
Hyderabad,Kondapur,Apartment,5,6,3670,0,20,4,1,25280000.0
Mumbai,Andheri,Apartment,2,3,3113,2,8,7,1,58290000.0
Bangalore,Whitefield,Villa,2,2,1284,7,1,8,0,10120000.0
Hyderabad,Gachibowli,Independent House,2,3,2341,24,24,9,0,14400000.0
Hyderabad,Banjara Hills,Apartment,4,5,3018,14,2,1,1,19250000.0
Mumbai,Bandra,Villa,5,5,2861,21,17,3,1,77840000.0
Mumbai,Worli,Apartment,1,1,2095,11,12,4,0,34740000.0
Hyderabad,Banjara Hills,Villa,3,4,3483,19,16,1,1,22290000.0
Mumbai,Bandra,Commercial Property,0,1,2310,22,5,9,0,53240000.0
Chennai,Anna Nagar,Apartment,1,1,1133,0,15,1,1,6750000.0
Chennai,ECR,Apartment,1,1,1203,4,22,6,0,6710000.0
Mumbai,Juhu,Villa,1,1,1743,4,15,0,1,33930000.0
Delhi,Rohini,Commercial Property,0,1,3021,15,21,6,1,31130000.0
Hyderabad,Gachibowli,Villa,5,5,3751,9,19,9,1,25850000.0
Hyderabad,Kondapur,Commercial Property,0,1,2805,16,20,7,1,16550000.0
Delhi,Vasant Kunj,Apartment,5,6,3998,4,12,2,0,49400000.0
Bangalore,Whitefield,Commercial Property,0,1,2944,11,14,1,0,18730000.0
Mumbai,Bandra,Villa,5,5,3517,1,19,8,0,83360000.0
Hyderabad,Gachibowli,Apartment,3,2,3947,3,21,8,1,23300000.0
Chennai,Adyar,Apartment,3,3,1508,6,24,6,1,12820000.0
Delhi,Vasant Kunj,Independent House,5,6,2764,2,9,0,0,31640000.0
Chennai,ECR,Independent House,3,2,2135,11,9,2,1,12110000.0
Delhi,Connaught Place,Independent House,2,3,643,20,5,2,1,9800000.0
Mumbai,Juhu,Commercial Property,0,1,3722,15,7,4,1,73320000.0
Bangalore,Electronic City,Independent House,5,6,4414,17,15,8,1,34450000.0
Chennai,ECR,Villa,5,5,1916,17,2,4,0,10600000.0
Mumbai,Juhu,Apartment,4,3,1010,6,13,3,1,18850000.0
Mumbai,Juhu,Commercial Property,0,1,2714,9,19,6,1,49000000.0
Hyderabad,Gachibowli,Commercial Property,0,1,1581,19,8,8,0,9870000.0
Hyderabad,Banjara Hills,Villa,1,2,2031,16,24,0,1,12030000.0
Bangalore,HSR Layout,Apartment,5,4,1314,20,16,5,0,11200000.0
Hyderabad,Banjara Hills,Independent House,3,2,3973,14,9,0,1,23390000.0
Chennai,ECR,Villa,3,4,3518,11,10,7,1,20140000.0
Delhi,Rohini,Commercial Property,0,1,1871,3,8,9,1,21460000.0
